Depth,Biostratigraphy,Reliability,MUD_VOLUME,TVD,GR,Core_depofacies
0.0002,-9999,2,-9999,0.0002,-9999,-9999
0.1526,-9999,2,-9999,0.1526,-9999,-9999
0.305,-9999,2,-9999,0.305,-9999,-9999
0.4574,-9999,2,-9999,0.4574,-9999,-9999
0.6098,-9999,2,-9999,0.6098,-9999,-9999
0.7622,-9999,2,-9999,0.7622,-9999,-9999
0.9146,-9999,2,-9999,0.9146,-9999,-9999
1.067,-9999,2,-9999,1.067,-9999,-9999
1.2194,-9999,2,-9999,1.2194,-9999,-9999
1.3718,-9999,2,-9999,1.3718,-9999,-9999
1.5242,-9999,2,-9999,1.5242,-9999,-9999
1.6766,-9999,2,-9999,1.6766,-9999,-9999
1.829,-9999,2,-9999,1.829,-9999,-9999
1.9814,-9999,2,-9999,1.9814,-9999,-9999
2.1338,-9999,2,-9999,2.1338,-9999,-9999
2.2862,-9999,2,-9999,2.2862,-9999,-9999
2.4386,-9999,2,-9999,2.4386,-9999,-9999
2.591,-9999,2,-9999,2.591,-9999,-9999
2.7434,-9999,2,-9999,2.7434,-9999,-9999
2.8958,-9999,2,-9999,2.8958,-9999,-9999
3.0482,-9999,2,-9999,3.0482,-9999,-9999
3.2006,-9999,2,-9999,3.2006,-9999,-9999
3.353,-9999,2,-9999,3.353,-9999,-9999
3.5054,-9999,2,-9999,3.5054,-9999,-9999
3.6578,-9999,2,-9999,3.6578,-9999,-9999
3.8102,-9999,2,-9999,3.8102,-9999,-9999
3.9626,-9999,2,-9999,3.9626,-9999,-9999
4.115,-9999,2,-9999,4.115,-9999,-9999
4.2674,-9999,2,-9999,4.2674,-9999,-9999
4.4198,-9999,2,-9999,4.4198,-9999,-9999
4.5722,-9999,2,-9999,4.5722,-9999,-9999
4.7246,-9999,2,-9999,4.7246,-9999,-9999
4.877,-9999,2,-9999,4.877,-9999,-9999
5.0294,-9999,2,-9999,5.0294,-9999,-9999
5.1818,-9999,2,-9999,5.1818,-9999,-9999
5.3342,-9999,2,-9999,5.3342,-9999,-9999
5.4866,-9999,2,-9999,5.4866,-9999,-9999
5.639,-9999,2,-9999,5.639,-9999,-9999
5.7914,-9999,2,-9999,5.7914,-9999,-9999
5.9438,-9999,2,-9999,5.9438,-9999,-9999
6.0962,-9999,2,-9999,6.0962,-9999,-9999
6.2486,-9999,2,-9999,6.2486,-9999,-9999
6.401,-9999,2,-9999,6.401,-9999,-9999
6.5534,-9999,2,-9999,6.5534,-9999,-9999
6.7058,-9999,2,-9999,6.7058,-9999,-9999
6.8582,-9999,2,-9999,6.8582,-9999,-9999
7.0106,-9999,2,-9999,7.0106,-9999,-9999
7.163,-9999,2,-9999,7.163,-9999,-9999
7.3154,-9999,2,-9999,7.3154,-9999,-9999
7.4678,-9999,2,-9999,7.4678,-9999,-9999
7.6202,-9999,2,-9999,7.6202,-9999,-9999
7.7726,-9999,2,-9999,7.7726,-9999,-9999
7.925,-9999,2,-9999,7.925,-9999,-9999
8.0774,-9999,2,-9999,8.0774,-9999,-9999
8.2298,-9999,2,-9999,8.2298,-9999,-9999
8.3822,-9999,2,-9999,8.3822,-9999,-9999
8.5346,-9999,2,-9999,8.5346,-9999,-9999
8.687,-9999,2,-9999,8.687,-9999,-9999
8.8394,-9999,2,-9999,8.8394,-9999,-9999
8.9918,-9999,2,-9999,8.9918,-9999,-9999
9.1442,-9999,2,-9999,9.1442,-9999,-9999
9.2966,-9999,2,-9999,9.2966,-9999,-9999
9.449,-9999,2,-9999,9.449,-9999,-9999
9.6014,-9999,2,-9999,9.6014,-9999,-9999
9.7538,-9999,2,-9999,9.7538,-9999,-9999
9.9062,-9999,2,-9999,9.9062,-9999,-9999
10.0586,-9999,2,-9999,10.0586,-9999,-9999
10.211,-9999,2,-9999,10.211,-9999,-9999
10.3634,-9999,2,-9999,10.3634,-9999,-9999
10.5158,-9999,2,-9999,10.5158,-9999,-9999
10.6682,-9999,2,-9999,10.6682,-9999,-9999
10.8206,-9999,2,-9999,10.8206,-9999,-9999
10.973,-9999,2,-9999,10.973,-9999,-9999
11.1254,-9999,2,-9999,11.1254,-9999,-9999
11.2778,-9999,2,-9999,11.2778,-9999,-9999
11.4302,-9999,2,-9999,11.4302,-9999,-9999
11.5826,-9999,2,-9999,11.5826,-9999,-9999
11.735,-9999,2,-9999,11.735,-9999,-9999
11.8874,-9999,2,-9999,11.8874,-9999,-9999
12.0398,-9999,2,-9999,12.0398,-9999,-9999
12.1922,-9999,2,-9999,12.1922,-9999,-9999
12.3446,-9999,2,-9999,12.3446,-9999,-9999
12.497,-9999,2,-9999,12.497,-9999,-9999
12.6494,-9999,2,-9999,12.6494,-9999,-9999
12.8018,-9999,2,-9999,12.8018,-9999,-9999
12.9542,-9999,2,-9999,12.9542,-9999,-9999
13.1066,-9999,2,-9999,13.1066,-9999,-9999
13.259,-9999,2,-9999,13.259,-9999,-9999
13.4114,-9999,2,-9999,13.4114,-9999,-9999
13.5638,-9999,2,-9999,13.5638,-9999,-9999
13.7162,-9999,2,-9999,13.7162,-9999,-9999
13.8686,-9999,2,-9999,13.8686,-9999,-9999
14.021,-9999,2,-9999,14.021,-9999,-9999
14.1734,-9999,2,-9999,14.1734,-9999,-9999
